biz_name,biz_type,biz_address,customer_service_address,rating_star,rating,phone,email,marketplace,seller_name,seller_link,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17
Samen-Gernand,private,"Bahnhofstr.,24,Griesheim,64347,DE","Bahnhofstr. 24,Griesheim,Hessen,64347,DE",5 von 5 Sternen,98% positive in den letzten 12 Monaten (223 Bewertungen),06155 2302, E-Mail: Samen.Gernand@t-online.de,https://www.amazon.de/shops/A030453026PKIBMELYSB8?ref_=v_sp_storefront,samen-gernand Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A030453026PKIBMELYSB8,https://www.amazon.de/dp/B000PTMD9C,,,,,,,,,,,,,,,,
Hagen E-Commerce GmbH,private,"Wittenbergener Weg 79,Hamburg,22559,DE",,4.5 von 5 Sternen,93% positive in den letzten 12 Monaten (297 Bewertungen),040-28667808,amazonde@elektro4000.de,https://www.amazon.de/shops/A0849746HSTND56N4046?ref_=v_sp_storefront,Elektro4000de Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A0849746HSTND56N4046,https://www.amazon.de/dp/B009ODV0OE,https://www.amazon.de/dp/B00IKIEBW2,,,,,,,,,,,,,,,
Nico Grunow Online Vertrieb e.K.,private,"Brandenburgische Str. 51-53,Ludwigsfelde,Brandenburg,14974,DE","Brandenburgische Str. 51-53,Ludwigsfelde,Brandenburg,14974,DE",5 von 5 Sternen,98% positive in den letzten 12 Monaten (239 Bewertungen),033781842316, E-Mail: info@steckplatz.de,https://www.amazon.de/shops/A121Y7O476HJ6P?ref_=v_sp_storefront,steckplatz - Online Vertrieb Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A121Y7O476HJ6P,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,,
Westfalia Werkzeugcompany GmbH & Co. KG,private,"Bandstahlstraße 1,Hagen,NRW,58093,DE","Werkzeugstrasse 1,Hagen,NRW,58093,DE",5 von 5 Sternen,96% positive in den letzten 12 Monaten (723 Bewertungen),02331-355298,E-Mail: friedberg@westfalia.de,https://www.amazon.de/shops/A12DAJBJH5L0SD?ref_=v_sp_storefront,Westfalia Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12DAJBJH5L0SD,https://www.amazon.de/dp/B0001P19PY,,,,,,,,,,,,,,,,
Münz- & Messershop Schaffarczyk,private,"Concordiastr. 32 - im BERO Center,Oberhausen,NRW,46049,DE","Concordiastr. 32 - im BERO Center,Oberhausen,NRW,46049,DE",5 von 5 Sternen,100% positive in den letzten 12 Monaten (179 Bewertungen),0208 805605,E-Mail: info@schweizermesser-essen.de,https://www.amazon.de/shops/A12G667HJIM4YW?ref_=v_sp_storefront,Münz- & Messershop Schaffarczyk Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12G667HJIM4YW,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
CRP Import - Export GmbH,private,"Billbrookdeich,82,Hamburg,Hamburg,22113,DE",,4.5 von 5 Sternen,90% positive in den letzten 12 Monaten (172 Bewertungen),040 73676191, info@growmart.de,https://www.amazon.de/shops/A12HFGQZYUN0PX?ref_=v_sp_storefront,Growmart-de Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HFGQZYUN0PX,https://www.amazon.de/dp/B000PTMD9C,,,,,,,,,,,,,,,,
Foxberry sro,private,"Revoluční 462,Poděbrady,29001,CZ",,5 von 5 Sternen,97% positive in den letzten 12 Monaten (72 Bewertungen),,,https://www.amazon.de/shops/A12HPIX0S65CGW?ref_=v_sp_storefront,Foxberry Store Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HPIX0S65CGW,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B0002TTRQW,,,,,,,,,,,,,,,
Shenzhen Shi Tianyi Shangmao Youxian Gongsi,private,"103, 18 Jianshanpai Xin Cun Fenghuang Shequ, Buji Jiedao,Fenghuang Shequ, Buji Jiedao, Longgang Qu,Shenzhen,Guangdong,518000,CN","5 Bernard Terrace,Edinburgh,Scotland,EH8 9NU,GB",5 von 5 Sternen,98% positive in den letzten 12 Monaten (461 Bewertungen),,,https://www.amazon.de/shops/A12UOV92JEZTET?ref_=v_sp_storefront,Six Foxes Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12UOV92JEZTET,https://www.amazon.de/dp/B081DKSKXX,,,,,,,,,,,,,,,,
Georg Weber GmbH,private,"Georg Weber GmbH,Siemensstr. 1,Bad Pyrmont,Niedersachsen,31812,DE",,5 von 5 Sternen,100% positive in den letzten 12 Monaten (11 Bewertungen),"
",eshop@georgweber.com,https://www.amazon.de/shops/A1303XBY5WDEJN?ref_=v_sp_storefront,Georg Weber GmbH Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1303XBY5WDEJN,https://www.amazon.de/dp/B0009W86H8,https://www.amazon.de/dp/B00141BMJC,https://www.amazon.de/dp/B00315R7OS,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B01NBW2J0I,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,
etronixx Sales GmbH,private,"Brandstücken,25-27,Hamburg,22549,DE",,4.5 von 5 Sternen,91% positive in den letzten 12 Monaten (8265 Bewertungen),,amazon@ejoker.de ,https://www.amazon.de/shops/A133RA3ZUAU4I7?ref_=v_sp_storefront,e-joker Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A133RA3ZUAU4I7,https://www.amazon.de/dp/B00WJZNH1I,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B084SN9HQV,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B003CSNV2Q,https://www.amazon.de/dp/B008HRFFJE,https://www.amazon.de/dp/B00315R7OS,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0002TTRQW,https://www.amazon.de/dp/B01M361H2B,https://www.amazon.de/dp/B00426KPJO,https://www.amazon.de/dp/B0001E3QG0,https://www.amazon.de/dp/B0001E3VFG,https://www.amazon.de/dp/B00FAMADXW,https://www.amazon.de/dp/B0001E3W7S,https://www.amazon.de/dp/B0001E3U16
