biz_name,biz_type,biz_address,customer_service_address,rating_star,rating,phone,email,marketplace,seller_name,seller_link,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22,Product23,Product24
Hagen E-Commerce GmbH,GmbH,"Wittenbergener Weg 79,Hamburg,22559,DE",,4.5 von 5 Sternen,94% positive in den letzten 12 Monaten (217 Bewertungen),040-28667808,amazonde@elektro4000.de,https://www.amazon.de/shops/A0849746HSTND56N4046?ref_=v_sp_storefront,Elektro4000de Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A0849746HSTND56N4046,https://www.amazon.de/dp/B008GT06T2,https://www.amazon.de/dp/B07GG77DL2,https://www.amazon.de/dp/B00BEJ77WK,https://www.amazon.de/dp/B01B0YRRLY,https://www.amazon.de/dp/B0028YCFW2,https://www.amazon.de/dp/B00MIKIZGG,,,,,,,,,,,,,,,,,,
Johannes Lefeld GmbH & Co. KG,GmbH,"Konrad-Adenauer-Str. 11,Rietberg,Nordrhein-Westfalen,33397,DE",,5 von 5 Sternen,97% positive in den letzten 12 Monaten (1458 Bewertungen),00495244920127,E-Mail: bernhard.lefeld@lefeld.de,https://www.amazon.de/shops/A0919020O1FU7HBMRJC8?ref_=v_sp_storefront,JOHANNES LEFELD GmbH & Co. KG Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A0919020O1FU7HBMRJC8,https://www.amazon.de/dp/B003VQQXO2,https://www.amazon.de/dp/B06XBRP5WY,https://www.amazon.de/dp/B07DPKH9SN,,,,,,,,,,,,,,,,,,,,,
MZW Kirchlengern UG  haftungsbeschränkt,,"Elsestraße 192,Kirchlengern,NRW,32278,DE","Elsestraße,192,Kirchlengern,32278,DE",5 von 5 Sternen,96% positive in den letzten 12 Monaten (27 Bewertungen),+49 (0)5223-9789636, info@cernovia.de,https://www.amazon.de/shops/A107ZN6DBNPITL?ref_=v_sp_storefront,Cernovia Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A107ZN6DBNPITL,https://www.amazon.de/dp/B00NABN1Z2,,,,,,,,,,,,,,,,,,,,,,,
Xebtec Handels GmbH & Co. KG,GmbH & Co. KG,"Popowstr.,1b,Chemnitz,Sachsen,09116,DE","Popowstraße 1b,Chemnitz,09116,DE",4.5 von 5 Sternen,92% positive in den letzten 12 Monaten (1677 Bewertungen),037124080632, E-Mail: amazon@x1-shop.de,https://www.amazon.de/shops/A10O7FFYP6G1EJ?ref_=v_sp_storefront,X1 Shop Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A10O7FFYP6G1EJ,https://www.amazon.de/dp/B0028YCFW2,,,,,,,,,,,,,,,,,,,,,,,
ESPACE-BRICOLAGE.FR,commerces de détails spécialisés bricolage,"143 Chemin Du Rivage,Espace-Bricolage.fr,Saint Blaise,06670,FR","143 Chemin Du Rivage,Espace-Bricolage.fr,Saint Blaise,06670,FR",4 von 5 Sternen,79% positive in den letzten 12 Monaten (124 Bewertungen),0970408072,,https://www.amazon.de/shops/A10WDYN1TMOSF0?ref_=v_sp_storefront,espace-bricolage Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A10WDYN1TMOSF0,https://www.amazon.de/dp/B076CTKZSV,,,,,,,,,,,,,,,,,,,,,,,
edinger Warenhaus GmbH,Handel,"edinger Warenhaus GmbH,Chemiestr. 12,Lampertheim,Hessen,68623,DE",,4.5 von 5 Sternen,87% positive in den letzten 12 Monaten (733 Bewertungen),0620692830,,https://www.amazon.de/shops/A11EQC7DR73POB?ref_=v_sp_storefront,edinger Lampertheim Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A11EQC7DR73POB,https://www.amazon.de/dp/B0026FCIA2,,,,,,,,,,,,,,,,,,,,,,,
Conquest GmbH,Handelsunternehmen,"Am Seegraben 2,Erfurt,99099,DE","Am Seegraben 2,Erfurt,99099,DE",4.5 von 5 Sternen,93% positive in den letzten 12 Monaten (41 Bewertungen),+49 361 43058288,"Tel.: +49 (0) 361 43058288, Email: conquest@conquestcompany.com, ",https://www.amazon.de/shops/A11YGOE4NQ8XUR?ref_=v_sp_storefront,ConquestCompany Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A11YGOE4NQ8XUR,https://www.amazon.de/dp/B003F0WKDM,https://www.amazon.de/dp/B00EFEZ7D2,https://www.amazon.de/dp/B01N9XBDTI,https://www.amazon.de/dp/B009I4A1TE,,,,,,,,,,,,,,,,,,,,
etronixx Sales GmbH,GmbH,"Brandstücken,25-27,Hamburg,22549,DE",,4.5 von 5 Sternen,92% positive in den letzten 12 Monaten (9623 Bewertungen),,amazon@ejoker.de ,https://www.amazon.de/shops/A133RA3ZUAU4I7?ref_=v_sp_storefront,e-joker Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A133RA3ZUAU4I7,https://www.amazon.de/dp/B008GT06T2,https://www.amazon.de/dp/B076CTKZSV,https://www.amazon.de/dp/B00EFEZ7D2,https://www.amazon.de/dp/B00BEJ77WK,https://www.amazon.de/dp/B01B0YRRLY,https://www.amazon.de/dp/B00GNVTXB2,https://www.amazon.de/dp/B0026FCIA2,https://www.amazon.de/dp/B07PKP1MY7,https://www.amazon.de/dp/B0028YCFW2,https://www.amazon.de/dp/B00MIKIZGG,https://www.amazon.de/dp/B00I64R77Q,https://www.amazon.de/dp/B06XKVS91W,https://www.amazon.de/dp/B00EZML6HU,https://www.amazon.de/dp/B07DPKH9SN,,,,,,,,,,
belion.de GmbH,GmbH,"Industriestrasse 9,Baden-Baden,76532,DE","Industriestrasse 9,Baden-Baden,76532,DE",4.5 von 5 Sternen,95% positive in den letzten 12 Monaten (185 Bewertungen),+4972219447480, E-Mail: info@belion.de,https://www.amazon.de/shops/A14KTTC8HBNHPI?ref_=v_sp_storefront,Belion-World Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A14KTTC8HBNHPI,https://www.amazon.de/dp/B00TDQV10U,https://www.amazon.de/dp/B0028YCFW2,,,,,,,,,,,,,,,,,,,,,,
Hi-Tech Groß GmbH,GmbH,"Äußere Weberstraße,89,Zittau,02763,DE",,5 von 5 Sternen,98% positive in den letzten 12 Monaten (220 Bewertungen),03583779069,E-Mail: shop@euronicsxxl-zittau.de,https://www.amazon.de/shops/A16CHUP3FDUXVU?ref_=v_sp_storefront,Hi-Tech Groß GmbH Schaufenster,https://www.amazon.de/sp?_encoding=UTF8&seller=A16CHUP3FDUXVU,https://www.amazon.de/dp/B003F0WKDM,https://www.amazon.de/dp/B079PYVY5G,https://www.amazon.de/dp/B01CU30YJQ,https://www.amazon.de/dp/B00BEJ77WK,https://www.amazon.de/dp/B01IIL6UVA,https://www.amazon.de/dp/B009I4A1TE,,,,,,,,,,,,,,,,,,
