biz_address,biz_name,biz_type,customer_service_address,email,marketplace,phone,rating,rating_star,seller_link,seller_name
"Bahnhofstr.,24,Griesheim,64347,DE",Samen-Gernand,private,"Bahnhofstr. 24,Griesheim,Hessen,64347,DE", E-Mail: Samen.Gernand@t-online.de,/shops/A030453026PKIBMELYSB8?ref_=v_sp_storefront,06155 2302,98% positive in den letzten 12 Monaten (223 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A030453026PKIBMELYSB8,samen-gernand Schaufenster
"Wittenbergener Weg 79,Hamburg,22559,DE",Hagen E-Commerce GmbH,private,,amazonde@elektro4000.de,/shops/A0849746HSTND56N4046?ref_=v_sp_storefront,040-28667808,93% positive in den letzten 12 Monaten (297 Bewertungen),4.5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A0849746HSTND56N4046,Elektro4000de Schaufenster
"Brandenburgische Str. 51-53,Ludwigsfelde,Brandenburg,14974,DE",Nico Grunow Online Vertrieb e.K.,private,"Brandenburgische Str. 51-53,Ludwigsfelde,Brandenburg,14974,DE", E-Mail: info@steckplatz.de,/shops/A121Y7O476HJ6P?ref_=v_sp_storefront,033781842316,98% positive in den letzten 12 Monaten (239 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A121Y7O476HJ6P,steckplatz - Online Vertrieb Schaufenster
"Bandstahlstraße 1,Hagen,NRW,58093,DE",Westfalia Werkzeugcompany GmbH & Co. KG,private,"Werkzeugstrasse 1,Hagen,NRW,58093,DE",E-Mail: friedberg@westfalia.de,/shops/A12DAJBJH5L0SD?ref_=v_sp_storefront,02331-355298,96% positive in den letzten 12 Monaten (723 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12DAJBJH5L0SD,Westfalia Schaufenster
"Concordiastr. 32 - im BERO Center,Oberhausen,NRW,46049,DE",Münz- & Messershop Schaffarczyk,private,"Concordiastr. 32 - im BERO Center,Oberhausen,NRW,46049,DE",E-Mail: info@schweizermesser-essen.de,/shops/A12G667HJIM4YW?ref_=v_sp_storefront,0208 805605,100% positive in den letzten 12 Monaten (179 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12G667HJIM4YW,Münz- & Messershop Schaffarczyk Schaufenster
"Billbrookdeich,82,Hamburg,Hamburg,22113,DE",CRP Import - Export GmbH,private,, info@growmart.de,/shops/A12HFGQZYUN0PX?ref_=v_sp_storefront,040 73676191,90% positive in den letzten 12 Monaten (172 Bewertungen),4.5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HFGQZYUN0PX,Growmart-de Schaufenster
"Revoluční 462,Poděbrady,29001,CZ",Foxberry sro,private,,,/shops/A12HPIX0S65CGW?ref_=v_sp_storefront,,97% positive in den letzten 12 Monaten (72 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12HPIX0S65CGW,Foxberry Store Schaufenster
"103, 18 Jianshanpai Xin Cun Fenghuang Shequ, Buji Jiedao,Fenghuang Shequ, Buji Jiedao, Longgang Qu,Shenzhen,Guangdong,518000,CN",Shenzhen Shi Tianyi Shangmao Youxian Gongsi,private,"5 Bernard Terrace,Edinburgh,Scotland,EH8 9NU,GB",,/shops/A12UOV92JEZTET?ref_=v_sp_storefront,,98% positive in den letzten 12 Monaten (461 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A12UOV92JEZTET,Six Foxes Schaufenster
"Georg Weber GmbH,Siemensstr. 1,Bad Pyrmont,Niedersachsen,31812,DE",Georg Weber GmbH,private,,eshop@georgweber.com,/shops/A1303XBY5WDEJN?ref_=v_sp_storefront,"
",100% positive in den letzten 12 Monaten (11 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1303XBY5WDEJN,Georg Weber GmbH Schaufenster
"Brandstücken,25-27,Hamburg,22549,DE",etronixx Sales GmbH,private,,amazon@ejoker.de ,/shops/A133RA3ZUAU4I7?ref_=v_sp_storefront,,91% positive in den letzten 12 Monaten (8265 Bewertungen),4.5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A133RA3ZUAU4I7,e-joker Schaufenster
"21 Village Way East,Harrow,Middx,HA2 7LX,GB",PERFUMEZ DIRECT LIMITED,private,,,/shops/A13BI80AJ9KGA?ref_=v_sp_storefront,,50% positiv  Lebensdauer (2 Gesamtbewertungen),3 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A13BI80AJ9KGA,Perfume_Direct Schaufenster
"Goedeckekamp 1,Bad Harzburg,38667,DE",HCS Ausrüstungs GmbH,private,"Am Heiligenholz 8,HCS Ausrüstungs GmbH,Bad Harzburg,38667,DE","
 Email: info@hcs-ausruestung.de
",/shops/A13LFQMQFOBSOQ?ref_=v_sp_storefront,,98% positive in den letzten 12 Monaten (111 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A13LFQMQFOBSOQ,HCS Ausrüstungs GmbH Schaufenster
"eTrodo GmbH,Franzstraße 115,Bocholt,46395,DE",eTrodo GmbH,private,, E-Mail: info@etrodo.de,/shops/A141IR4ON8TSFX?ref_=v_sp_storefront,02871-1899100,95% positive in den letzten 12 Monaten (113 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A141IR4ON8TSFX,etrodo Schaufenster
"Leipziger Str. 59,Leipziger Str. 59,Köthen (Anhalt),Sachsen-Anhalt,06366,DE",Hickethier GmbH,private,, Mail: amazon_mp@marios-dogshop.de,/shops/A14WBIL3706WX0?ref_=v_sp_storefront,+49 3496 212938,97% positive in den letzten 12 Monaten (533 Bewertungen),5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A14WBIL3706WX0,Marios Dogshop Schaufenster
"Hauptstraße,77 - 79,Bad Boll,73087,DE",GREINER GROSSHANDEL Martin Greiner e. K.,private,"Martin Greiner e. K.,Hauptstraße 77 - 79,Bad Boll,Baden - Württemberg,73087,DE",info@greiner-online.eu,/shops/A1569YM70P7ACN?ref_=v_sp_storefront,071642960,87% positive in den letzten 12 Monaten (244 Bewertungen),4.5 von 5 Sternen,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1569YM70P7ACN,GREINER GROSSHANDEL Schaufenster
